ID,Pedigree,DYSKIN,EASPIN,EPPIN,PLHTIN,PLHTUN,PLSTIN,STRCO1,STRCO2,STRRAT1,STRRAT2,YLDIN
1,TZLCompIC4S1-50-3-B-3-B*7,64.875,2.625,0.807,136.875,142.375,15.250,26.875,32.000,4.750,6.875,2497.760
2,(ACRSYN-W-S2-173-B*4/TZLCompIC4S1-37-5-BBB)-3-B*4,63.500,2.938,0.97553,131.500,131.000,15.750,10.625,25.250,3.875,5.625,1872.190
3,(ACRSYN-W-S2-173-B*4/TZLCompIC4S1-37-5-BBB)-25-B*4,63.125,2.125,1.07938,117.250,108.875,16.375,4.250,7.250,2.875,3.875,3238.670
4,(ACRSYN-W-S2-173-B*4/TZLCompIC4S1-37-1-B*4)-54-B*4,66.375,3.000,0.8841,124.375,141.375,15.625,4.625,8.375,3.750,5.250,1796.900
5,(ACRSYN-W-S2-173-B*4/TZLCompIC4S1-37-1-B*4)-17-B*4-B,65.125,2.500,0.94498,141.750,148.125,14.875,3.000,5.500,2.875,4.000,2508.930
6,ZdiploBC4-472-2-3-4-3-B-3-B*8,61.875,2.938,0.99578,126.125,132.000,15.750,21.000,28.000,4.500,6.375,2017.210
7,(1393/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-2-B*4,58.750,2.938,0.90481,111.875,117.375,16.250,15.500,22.250,4.500,6.500,2500.630
8,(1393/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-3-B*4,61.625,3.000,0.87185,122.000,135.625,14.625,10.875,12.875,4.375,6.250,1468.010
9,(1393/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-43-B*4,62.500,3.313,0.59677,95.875,105.000,14.875,24.500,25.000,4.250,6.500,1078.120
10,(1393/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-46-B*4,65.617,3.125,0.74502,143.250,148.750,16.250,25.000,44.500,5.500,7.375,1500.500
11,(1393/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-61-1-1-BB-B,63.125,3.000,0.97031,115.250,114.000,15.250,9.500,16.500,3.500,5.500,2071.800
12,(ZDiploBC4-472-2-2-1-2-3-B-1-B*5/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-43-1-BB-B,66.000,2.813,0.7135,113.500,121.750,16.250,5.750,12.125,3.500,5.125,2017.620
13,(ZDiploBC4-472-2-2-1-2-3-B-1-B*5/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-44-1-BB-B,63.625,2.500,0.82962,114.500,118.000,15.250,5.250,11.625,3.375,5.000,1970.390
14,(ZDiploBC4-472-2-2-1-2-3-B-1-B*5/ZDiploBC4-19-4-1-#-3-1-B-1-B*4)-34-1-BB-B,64.375,2.875,0.8103,126.250,142.000,15.625,8.375,15.375,3.375,4.750,1891.000
15,IWD-SYN-STR-C3-1-1-B*5,4.127,4.750,0.03666,96.500,118.125,14.875,43.250,54.875,7.625,8.875,52.280
16,IWD-SYN-STR-C3-1-2-B*5,69.125,2.813,1.01797,149.250,153.875,15.125,1.375,4.500,3.625,5.375,1773.040
17,IWD-SYN-STR-C3-11-1-B*5,62.375,3.125,0.81496,135.750,148.250,14.500,20.250,32.000,3.875,5.625,1919.640
18,IWD-SYN-STR-C3-14-1-B*5,62.375,2.875,0.86471,123.875,132.750,15.875,28.750,40.000,3.000,5.000,1974.400
19,IWD-SYN-STR-C3-26-1-B*5,67.000,3.625,0.57107,96.000,105.875,15.375,21.250,28.750,3.250,5.250,950.340
20,IWD-SYN-STR-C3-32-2-B*5,63.875,3.500,0.86195,128.500,138.875,16.500,27.500,33.125,4.875,6.625,1701.780
21,IWD-SYN-STR-C3-40-1-B*5,64.250,2.688,0.75965,89.250,91.375,16.750,20.625,28.000,2.750,4.250,2113.890
22,IWD-SYN-STR-C3-47-1-B*5,62.125,2.625,0.88611,125.125,133.125,16.125,40.500,52.250,4.000,6.000,2915.140
23,IWD-SYN-STR-C3-52-1-B*5,62.875,2.813,0.8387,117.625,147.125,16.500,51.250,72.375,5.000,6.625,2407.710
24,IWD-SYN-STR-C3-52-4-B*5,64.625,2.938,1.04804,135.250,144.250,16.000,41.000,51.875,4.125,5.750,1480.000
25,IWD-SYN-STR-C3-53-2-B*5,63.875,2.500,1.06532,138.375,151.250,16.250,21.125,31.375,3.125,4.250,3026.010
26,IWD-SYN-STR-C3-55-3-B*5,61.625,2.563,0.88182,116.750,122.625,15.375,13.750,18.000,3.625,5.000,2531.410
27,IWD-SYN-STR-C3-56-4-B*5,66.375,2.688,0.73095,135.875,139.875,16.125,17.625,31.625,4.750,6.625,2091.120
28,5012,64.331,3.500,0.66601,118.875,135.625,14.250,43.000,53.500,5.750,7.750,1188.810
29,IWD-SYN-STR-C3-50-2-B-B-B-B,63.625,2.750,0.89154,135.875,149.125,16.750,30.500,34.500,3.625,5.875,2704.780
30,STR Low Emerg. Pool CO S3 670-1-5-3-3-B-1-B*9,64.250,3.375,0.66965,139.375,141.750,14.875,6.625,13.500,5.000,6.625,1035.400
31,IWD-SYN-STR-C3-18-1-B-B-B,65.500,3.125,0.90845,144.375,143.125,13.750,9.125,17.250,3.625,5.500,1634.090
32,IWD-SYN-STR-C3-46-5-B-B-B,59.875,2.313,1.07327,102.875,110.875,15.125,27.750,53.625,2.875,4.625,3470.730
33,IWD-SYN-STR-C3-52-2-B-B-B,65.474,3.438,0.60028,116.250,138.250,12.500,27.625,45.375,4.500,6.125,868.140
34,(9450xCM 116x9450)-3-3-1-2-1-B-B-B-B-B-B-B-B,62.125,2.500,0.87776,124.625,132.125,16.000,29.375,40.625,3.000,4.250,2072.950
35,(ACR97SYN-Y-S1-24-B*4/ACR97TZLComp1-YS155-4-1-3-B*4)-13-1-BB-B,65.375,3.313,0.6862,137.875,138.250,13.250,9.125,16.125,3.375,6.000,1625.070
36,(ACR97SYN-Y-S1-79-B*4/ACR97TZLComp1-YS155-4-1-3-B*4)-19-1-BB-B,64.250,2.750,0.85084,142.000,139.625,15.750,9.500,18.625,2.875,5.000,1900.480
37,(ACR97SYN-Y-S1-79-B*4/ACR97TZLComp1-YS155-4-1-3-B*4)-24-1-BB-B,63.125,3.250,0.87325,125.750,129.250,15.875,55.500,64.500,3.750,5.875,1650.370
38,(ACR97TZLComp1-YS155-4-1-3-B*4/ACR97SYN-Y-S1-76-B*4)-1-1-B-B,63.125,2.500,0.85972,130.375,141.000,16.500,13.250,26.500,2.625,5.000,1404.320
39,(ACR97TZLComp1-YS155-4-1-3-B*4/ACR97SYN-Y-S1-76-B*4)-11-1-BB-B,61.125,2.500,0.97013,116.375,117.125,16.750,4.000,22.625,3.500,5.375,2271.100
40,(ACR97SYN-Y-S1-24-B*4/ACR97TZLComp1-YS155-4-1-3-B*4)-30-1-BB-B,62.000,2.813,0.80904,117.000,123.875,16.250,13.750,24.875,4.125,5.875,2150.550
41,(TZECOMP5-Y-C7-S3-56-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-28-1-BB-B,61.750,2.688,0.82104,117.000,126.125,16.125,57.000,69.875,3.625,5.125,2487.300
42,(TZECOMP5-Y-C7-S3-56-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-36-1-BB-B,60.000,2.750,0.90119,122.125,131.000,16.750,29.500,36.875,3.875,6.250,2544.210
43,(TZECOMP5-Y-C7-S3-56-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-43-1-BB-B,63.331,3.063,0.79549,130.625,139.000,16.375,49.375,64.750,3.500,6.125,1973.560
44,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-9-1-BB-B,62.875,2.875,0.97096,131.875,134.625,13.000,28.125,34.125,3.625,5.750,1841.640
45,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-10-1-BB-B,63.625,3.063,0.87821,120.500,128.375,16.500,23.625,45.250,3.875,5.750,1722.690
46,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-Y-C7-S3-56-B*4)-65-1-BB-B,64.000,2.750,0.96603,126.375,130.625,15.625,14.625,27.875,3.875,5.375,2155.820
47,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-Y-C7-S3-56-B*4)-42-1-BB-B,62.285,2.248,1.11017,139.189,149.612,15.543,9.905,14.222,3.482,4.746,3770.290
48,(KU1409/DE3/KU1409)S2-27-B*4/ACR97TZL-CCOMP1-Y-S3-40-3-B*6-6-B-1-B,64.875,3.438,0.75172,122.500,133.750,13.125,19.375,25.000,4.625,6.250,1162.460
49,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-12-2-1-B,61.750,2.938,1.11529,117.750,130.500,15.375,15.750,26.625,3.000,4.750,1875.070
50,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-82-3-3-B,61.000,2.938,0.79642,102.000,99.250,15.375,26.125,44.875,3.375,5.750,1476.120
51,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-40-B-1-B,64.750,3.000,1.07386,145.375,147.375,15.875,28.625,44.500,2.750,5.000,1718.900
52,(KU1409/DE3/KU1409)S2-6-B*4/ACR97TZL-CCOMP1-Y-S3-33-6-B*6-32-2-1-B,62.875,2.813,0.80502,118.250,122.375,14.875,32.625,57.000,3.250,5.500,1671.830
53,(ZDiploBC4-19-4-1-#-3-1-B-1-BxPioneerIRxZDiploBC4-19-4-1-#-3-1-B-1-B)-4-1-2-1-B*9,67.705,3.063,0.73152,127.750,124.750,15.875,6.500,11.125,3.375,5.375,1486.960
54,9450xPioneerIRx9450BC1-1-23-1-4-B*10,67.125,2.813,0.8451,126.500,137.750,16.625,14.500,18.250,3.500,5.125,2332.220
